TmdbId,MovieTitle,Popularity,ReleaseDate,Revenue,Runtime
11228,Daylight,11.995799,35405,159212469,0115.0
10779,The Frighteners,12.09096,35264,29359216,0110.0
26748,Lone Star,9.069963,35237,13269963,0135.0
9294,Phenomenon,5.575992,35251,152036382,0123.0
11363,She's the One,10.827266,35303,9482579,0096.0
1645,A Time to Kill,13.309013,35270,152266007,0149.0
31546,American Buffalo,7.031279,35321,665450,0088.0
18550,Fled,3.906949,35265,17193231,0098.0
11962,Joe's Apartment,9.490858,35272,4619014,0078.0
2925,The First Wives Club,10.177303,35328,116400000,0102.0
3595,Ransom,8.772188,35377,309492681,0117.0
9308,High School High,4.220058,35363,21302121,0086.0
18555,Foxfire,3.186891,35300,258263,0102.0
12123,Chain Reaction,15.874491,35279,60209334,0107.0
10830,Matilda,10.034915,35279,33459416,0098.0
3573,Emma,6.593011,35279,22231658,0121.0
10546,The Crow: City of Angels,6.554679,35306,17917287,0084.0
9431,Bordello of Blood,3.450402,35293,5600000,0087.0
47907,The Spitfire Grill,1.19589,35300,12643776,0117.0
10061,Escape from L.A.,12.229381,35286,42277365,0097.0
549,Basquiat,4.797674,35286,3011195,0108.0
10478,Tin Cup,6.24966,35293,53854588,0135.0
66634,Dingo,0.124273,33391,300000,0109.0
238,The Godfather,41.109264,26372,245066411,0175.0
11134,è­¦å¯Ÿæ•…äº‹ IIIï¼šè¶…ç´šè­¦å¯Ÿ,6.751864,33789,20483423,0095.0
88224,Manny & Lo,1.143656,35086,431326,0088.0
9303,Bound,12.449574,35321,7011317,0108.0
11015,The Relic,7.699967,35440,33956608,0110.0
9306,The Island of Dr. Moreau,12.725343,35300,49627779,0096.0
10723,Bulletproof,7.859132,35314,22611954,0084.0
10987,Halloween: The Curse of Michael Myers,8.768288,34971,15116634,0088.0
872,Singin' in the Rain,11.064858,19094,7200000,0103.0
2769,An American in Paris,5.565203,18848,4500000,0113.0
164,Breakfast at Tiffany's,10.879289,22559,9500000,0110.0
426,Vertigo,18.20822,21314,28000000,0128.0
567,Rear Window,17.911314,19937,36764313,0112.0
3078,It Happened One Night,6.465257,12472,4500000,0105.0
213,North by Northwest,12.410427,21738,13275000,0136.0
284,The Apartment,11.994281,22082,25000000,0125.0
239,Some Like It Hot,11.845107,21627,25000000,0122.0
4808,Charade,7.098731,23350,13474588,0113.0
289,Casablanca,13.916101,15671,10462500,0102.0
963,The Maltese Falcon,5.782544,15298,1000000,0100.0
11113,My Fair Lady,12.494394,23671,72070731,0170.0
6620,Sabrina,7.359741,19995,10000000,0113.0
804,Roman Holiday,11.954806,19604,12000000,0119.0
630,The Wizard of Oz,22.064932,14472,33754967,0102.0
770,Gone with the Wind,14.240357,14594,400176459,0238.0
599,Sunset Boulevard,11.709777,18485,5000000,0110.0
15,Citizen Kane,15.811921,15096,23217674,0119.0
62,2001: A Space Odyssey,22.494622,24938,68700000,0149.0
705,All About Eve,12.06308,18576,63463,0138.0
22490,The Women,5.076649,14246,2270000,0133.0
223,Rebecca,8.590813,14713,6000000,0130.0
303,Notorious,10.135111,17029,24464742,0102.0
4174,Spellbound,5.47596,16799,7000000,0111.0
381,To Catch a Thief,5.490505,20304,8750000,0106.0
1859,Ninotchka,5.120036,14524,2279000,0110.0
10907,The Adventures of Robin Hood,10.685036,14013,3981000,0102.0
1939,Laura,9.884516,16356,2000000,0088.0
3080,Top Hat,7.122093,13033,3202000,0101.0
1712,Giant,10.864284,20738,35000000,0201.0
220,East of Eden,6.42883,20157,5,0115.0
3529,The Thin Man,10.573867,12564,1423000,0093.0
2897,Around the World in Eighty Days,6.164226,20745,42000000,0167.0
1585,It's a Wonderful Life,15.031588,17156,9644124,0130.0
3083,Mr. Smith Goes to Washington,8.168694,14537,9600000,0129.0
10331,Night of the Living Dead,14.384198,25112,30000000,0096.0
488,The African Queen,6.636872,18965,10750000,0105.0
261,Cat on a Hot Tin Roof,11.794846,21233,17570324,0108.0
57575,The Last Time I Saw Paris,0.912955,19725,105,0116.0
22649,A Farewell to Arms,1.914697,12031,25,0089.0
52855,Dangerous Ground,1.463219,35473,3028094,0095.0
63945,Bliss,1.262649,35534,294064,0103.0
10861,Maximum Risk,7.370163,35321,51702483,0100.0
1770,Michael Collins,6.728199,35363,16900000,0132.0
44465,The Rich Man's Wife,6.746475,35321,8538318,0094.0
9333,Last Man Standing,11.845918,35328,47267001,0101.0
9400,Set It Off,6.85606,35375,41590886,0118.0
12241,Curdled,2.781581,35314,49620,0088.0
11306,Extreme Measures,4.990506,35335,17380126,0118.0
10680,D3: The Mighty Ducks,5.511475,35342,22955097,0104.0
6346,The Chamber,3.998494,35349,22540359,0113.0
14821,Escape to Witch Mountain,7.151691,27474,20000000,0097.0
173,"20,000 Leagues Under the Sea",8.722406,20081,28200000,0127.0
864,Cool Runnings,8.30721,34242,154864401,0098.0
24795,Angels in the Outfield,10.892812,34530,50236831,0102.0
11224,Cinderella,14.436858,18326,263591415,0074.0
9078,The Sword in the Stone,10.636458,23370,22182353,0079.0
8367,Robin Hood: Prince of Thieves,10.639244,33403,390493908,0143.0
433,Mary Poppins,15.11549,23616,102272727,0139.0
11360,Dumbo,14.655879,15271,1600000,0064.0
12335,Bedknobs and Broomsticks,10.362012,26213,17900000,0117.0
12092,Alice in Wonderland,16.488937,18812,572000000,0075.0
10948,The Fox and the Hound,10.197106,29777,29800000,0082.0
15121,The Sound of Music,9.06773,23803,286214286,0174.0
562,Die Hard,16.640522,32339,140767956,0131.0
10163,The Lawnmower Man,6.685948,33668,32101000,0108.0
11159,Secrets & Lies,11.223572,35209,13417292,0142.0
9591,That Thing You Do!,8.685761,35342,34585416,0108.0
30500,To Gillian on Her 37th Birthday,3.263681,35356,4137645,0093.0
41843,Surviving Picasso,2.167132,35312,1985001,0125.0
10938,Beautiful Thing,5.766163,35237,1500000,0090.0
11412,The Long Kiss Goodnight,14.482345,35349,89456761,0120.0
10586,The Ghost and the Darkness,10.789928,35349,75000000,0109.0
49471,Get on the Bus,5.230661,35354,5731103,0120.0
38153,Shadow Conspiracy,3.733574,35461,2154540,0103.0
25147,Jude,3.379677,35101,405000,0123.0
454,Romeo + Juliet,11.774061,35369,147298761,0120.0
10218,Swingers,6.578025,35356,4505922,0094.0
819,Sleepers,9.198283,35356,165615285,0147.0
252,Willy Wonka & the Chocolate Factory,12.416635,26113,4000000,0100.0
11561,Sleeper,6.048904,27015,18344729,0089.0
11302,Bananas,4.331819,26051,11833696,0082.0
623,A Fish Called Wanda,11.400353,32339,62493712,0108.0
583,Life of Brian,10.714173,29084,20045115,0094.0
12614,Victor/Victoria,5.378996,30066,28215453,0132.0
11575,The Great Race,4.473327,23924,25333333,0160.0
475,Bonnie and Clyde,12.109198,24671,50700000,0111.0
521,Dial M for Murder,7.853231,19873,3000000,0104.0
88,Dirty Dancing,14.044122,32010,213954274,0100.0
500,Reservoir Dogs,12.22034,33849,14661007,0099.0
792,Platoon,18.206972,31764,138530565,0120.0
8491,Weekend at Bernie's,8.051891,32694,30218387,0097.0
402,Basic Instinct,16.628427,33683,352927224,0127.0
10537,The Doors,7.829619,33298,34416893,0140.0
11386,The Crying Game,7.404329,33849,62548947,0112.0
9504,Glengarry Glen Ross,6.792215,33862,10725228,0100.0
15764,Sophie's Choice,15.417202,30293,30036000,0151.0
601,E.T. the Extra-Terrestrial,19.358546,30044,792965326,0115.0
2119,Days of Thunder,7.046753,33051,157920733,0107.0
744,Top Gun,20.301019,31548,356830601,0110.0
136311,American Strays,0.51063,35320,1910,0097.0
702,A Streetcar Named Desire,7.301719,18889,8000000,0125.0
21612,The Funeral,2.772039,35090,1227324,0099.0
1630,The People vs. Larry Flynt,9.178371,35350,20300385,0129.0
11816,On Golden Pond,12.252186,29924,19255967,0109.0
11843,The Return of the Pink Panther,6.501177,27535,41833347,0113.0
10379,Drop Dead Fred,7.88101,33347,13878334,0103.0
